N;Итерации;Время;Погрешность
100;737;0.0163968;0.0010662;
110;814;0.0284411;0.000394904;
120;903;0.0323662;0.000326437;
130;989;0.0326792;0.000294153;
140;1073;0.0409625;0.000281541;
150;1152;0.0466033;0.000265065;
160;1228;0.0546459;0.000286042;
170;1314;0.0661333;0.0012155;
180;1372;0.0707294;0.000196695;
190;1437;0.0776622;0.000145655;
200;1497;0.0827118;0.000335825;
210;1559;0.0972409;0.000188678;
220;1614;0.0941711;0.000146139;
230;1667;0.0970612;0.000195623;
240;1719;0.12929;0.000172249;
250;1768;0.135518;0.000145288;
260;1813;0.127481;0.000180458;
270;1858;0.155311;0.000219041;
280;1901;0.166124;0.00010785;
290;1941;0.175623;0.000198122;
300;1980;0.187695;0.000175338;
310;2017;0.205733;0.000170636;
320;2053;0.21456;0.000145243;
330;2087;0.200981;0.000119001;
340;2120;0.233664;0.000138871;
350;2152;0.252831;0.000128633;
360;2182;0.262768;0.000121968;
370;2211;0.2696;0.000111862;
380;2239;0.299012;0.000104874;
390;2269;0.307722;0.000246919;
400;2324;0.547137;0.00304682;
410;2317;0.322645;0.000172757;
420;2341;0.335358;0.000166404;
430;2365;0.372145;0.000182149;
440;2388;0.396498;8.26817e-05;
450;2409;0.392969;0.000171873;
460;2431;0.436955;8.05372e-05;
470;2451;0.454844;0.000175957;
480;2472;0.473588;0.000160653;
490;2491;0.503816;7.86865e-05;
500;2510;0.522726;0.000158175;
