N;Итерации;Время;Погрешность
100;1350;0.0640901;0;
110;1562;0.095513;0;
120;1784;0.12554;0;
130;2014;0.175331;0;
140;2252;0.231663;0;
150;2497;0.284059;0;
160;2749;0.34997;0;
170;3005;0.432605;0;
180;3268;0.526732;0;
190;3534;0.638894;0;
200;3805;0.769424;0;
210;4080;0.89396;0;
220;4357;1.05267;0;
230;4637;1.21282;0;
240;4918;1.40741;0;
250;5202;1.61081;0;
260;5487;1.83895;0;
270;5773;2.07290;0;
280;6059;2.34895;0;
290;6345;2.64438;0;
300;6632;2.95537;0;
310;6918;3.30679;0;
320;7203;3.66519;0;
330;7487;4.04494;0;
340;7770;4.45729;0;
350;8051;4.87626;0;
360;8331;5.36819;0;
370;8608;5.86360;0;
380;8884;6.39659;0;
390;9157;6.89911;0;
400;9427;7.48949;0;
410;9695;8.08026;0;
420;9959;8.70174;0;
430;10221;9.40869;0;
440;10479;10.09510;0;
450;10735;10.81050;0;
460;10987;11.57080;0;
470;11235;12.56960;0;
480;11480;13.1292;0;
490;11721;14.0521;0;
500;11960;14.8898;0;
