N;Итерации;Время;Погрешность
100;211;0.0330428;0;
110;222;0.0429102;0;
120;231;0.109434;0;
130;240;0.111598;0;
140;247;0.112165;0;
150;254;0.113512;0;
160;260;0.118296;0;
170;265;0.089878;0;
180;270;0.0820339;0;
190;275;0.0853838;0;
200;279;0.159129;0;
210;283;0.105483;0;
220;286;0.154778;0;
230;290;0.119436;0;
240;293;0.127453;0;
250;296;0.164561;0;
260;298;0.126873;0;
270;301;0.185815;0;
280;303;0.139655;0;
290;305;0.155221;0;
300;307;0.188971;0;
310;309;0.20732;0;
320;311;0.200349;0;
330;313;0.224376;0;
340;314;0.215633;0;
350;316;0.223005;0;
360;317;0.227929;0;
370;319;0.273825;0;
380;320;0.23138;0;
390;321;0.249045;0;
400;323;0.255872;0;
410;324;0.253637;0;
420;325;0.310727;0;
430;326;0.262205;0;
440;327;0.268216;0;
450;328;0.268635;0;
460;329;0.284015;0;
470;329;0.331729;0;
480;330;0.291092;0;
490;331;0.346463;0;
500;332;0.355142;0;
