Sequential time;Concurrent time;Inaccuracy;Speedup
10482;11526;0;0.909422;
16093;11248;0;1.43074;
22747;18273;0;1.24484;
30216;18413;0;1.64101;
35469;25438;0;1.39433;
38232;22393;0;1.70732;
44994;39627;0;1.13544;
50244;31402;0;1.60003;
55617;37209;0;1.49472;
61107;38805;0;1.57472;
67344;47963;0;1.40408;
74133;43862;0;1.69014;
78876;53452;0;1.47564;
84966;48220;0;1.76205;
90681;53376;0;1.69891;
95800;51978;0;1.84309;
101316;56810;0;1.78342;
105968;49545;0;2.13882;
110026;60684;0;1.81310;
115701;65299;0;1.77186;
120022;65523;0;1.83175;
126824;67309;0;1.88421;
129818;68358;0;1.89909;
134067;73849;0;1.81542;
139333;79992;0;1.74184;
145200;78716;0;1.84461;
158479;70579;0;2.24541;
156004;85496;0;1.82469;
160706;92748;0;1.73272;
166472;92073;0;1.80804;
172666;91705;0;1.88284;
178903;96683;0;1.85041;
183638;98314;0;1.86787;
189605;101150;0;1.87449;
194510;96933;0;2.00664;
200852;102839;0;1.95307;
205465;112756;0;1.82221;
209975;113887;0;1.84371;
215937;114359;0;1.88824;
222614;112798;0;1.97356;
227469;128974;0;1.76368;
232853;119944;0;1.94135;
237700;123436;0;1.92569;
242650;122956;0;1.97347;
247662;130245;0;1.90151;
257089;138363;0;1.85808;
259763;138131;0;1.88056;
263753;139888;0;1.88546;
285407;138686;0;2.05794;
276849;146383;0;1.89126;
280692;152311;0;1.84289;
286244;157228;0;1.82057;
294143;163055;0;1.80395;
298039;158664;0;1.87843;
303743;167060;0;1.81817;
315435;156604;0;2.01422;
314592;156125;0;2.015;
319286;169743;0;1.881;
325255;181056;0;1.79643;
328657;170311;0;1.92975;
334716;179919;0;1.86037;
342278;185625;0;1.84392;
349566;184326;0;1.89646;
351346;188099;0;1.86788;
356961;193647;0;1.84336;
363275;187741;0;1.93498;
368098;184932;0;1.99045;
374316;196965;0;1.90042;
378592;190179;0;1.99071;
384927;184419;0;2.08724;
391161;210880;0;1.85490;
418191;197327;0;2.11928;
402241;197687;0;2.03474;
407330;204600;0;1.99086;
418442;209280;0;1.99944;
417413;223054;0;1.87135;
437861;215953;0;2.02758;
427429;218306;0;1.95794;
432927;218984;0;1.97698;
440598;247062;0;1.78335;
446125;230568;0;1.93490;
450546;238931;0;1.88567;
455256;240420;0;1.89359;
460075;242152;0;1.89994;
465849;248934;0;1.87138;
472184;251541;0;1.87717;
491047;247703;0;1.98240;
484989;255055;0;1.90151;
488577;263254;0;1.85591;
492471;258762;0;1.90318;
499958;244603;0;2.04396;
502737;266949;0;1.88327;
510645;265731;0;1.92166;
513111;268735;0;1.90936;
525001;298005;0;1.76172;
