Sequential time;Concurrent time;Inaccuracy;Speedup
21608;12426;0;1.73893;
29593;17829;0;1.65982;
39177;19513;0;2.00774;
46307;22199;0;2.08599;
54127;25374;0;2.13317;
61832;33437;0;1.84921;
87263;34058;0;2.56219;
81590;33850;0;2.41034;
97716;48492;0;2.01510;
102689;39268;0;2.61508;
113725;53124;0;2.14075;
113330;58972;0;1.92176;
121625;50110;0;2.42716;
127504;57321;0;2.22439;
136005;54186;0;2.50997;
142438;53609;0;2.65698;
145564;57252;0;2.54251;
150308;59417;0;2.52971;
152480;60409;0;2.52413;
157439;58692;0;2.68246;
161619;62494;0;2.58615;
167859;69903;0;2.40131;
175183;68537;0;2.55604;
178987;76705;0;2.33345;
187534;90330;0;2.07610;
192075;84617;0;2.26993;
200038;83737;0;2.38888;
204516;72273;0;2.82977;
212165;75361;0;2.81532;
214587;90150;0;2.38033;
226077;84541;0;2.67417;
230856;95494;0;2.41749;
234662;88091;0;2.66386;
243722;109735;0;2.22101;
247949;105952;0;2.34020;
255753;90994;0;2.81066;
258194;96036;0;2.68851;
263432;113440;0;2.32221;
267629;102154;0;2.61986;
274100;100061;0;2.73933;
279343;99082;0;2.81931;
284884;107432;0;2.65176;
291780;111603;0;2.61445;
298975;127340;0;2.34785;
303470;105368;0;2.88010;
307825;122944;0;2.50378;
312266;115250;0;2.70947;
320356;121200;0;2.64320;
324501;137146;0;2.36610;
332972;118553;0;2.80863;
337249;131690;0;2.56093;
344679;146881;0;2.34665;
350831;118431;0;2.96232;
357702;134895;0;2.65171;
362507;138982;0;2.60830;
371713;138795;0;2.67814;
369950;145436;0;2.54373;
379101;136547;0;2.77634;
391208;147819;0;2.64653;
429923;162867;0;2.63972;
394396;162548;0;2.42634;
435034;147561;0;2.94816;
421206;162126;0;2.59802;
447342;165483;0;2.70325;
439309;146524;0;2.99821;
422389;150384;0;2.80874;
437967;153793;0;2.84777;
450018;155755;0;2.88927;
445326;159007;0;2.80067;
448664;171963;0;2.60907;
457447;159453;0;2.86885;
463250;180671;0;2.56405;
462750;164872;0;2.80672;
468371;170427;0;2.74822;
474535;172699;0;2.74776;
483643;169797;0;2.84836;
485275;179353;0;2.70570;
489986;185302;0;2.64426;
496997;187119;0;2.65605;
509135;190021;0;2.67936;
514846;199545;0;2.58010;
515264;181217;0;2.84335;
519788;189808;0;2.73849;
527117;190937;0;2.76069;
535188;195924;0;2.73161;
535634;197725;0;2.70898;
545924;198001;0;2.75718;
549976;181636;0;3.02790;
551842;209693;0;2.63167;
556486;213226;0;2.60984;
565612;206523;0;2.73874;
573551;224985;0;2.54929;
575252;207181;0;2.77657;
582482;219017;0;2.65953;
581252;192668;0;3.01686;
