Sequential time;Concurrent time;Inaccuracy;Speedup
10899;7526;0;1.44818
17215;11353;0;1.51634
22872;15514;0;1.47428
30259;16999;0;1.78005
36960;19896;0;1.85766
38019;24176;0;1.57259
45020;31743;0;1.41827
50885;32846;0;1.54920
56562;36519;0;1.54884
61201;38999;0;1.56930
67470;41123;0;1.64069
72615;42549;0;1.70662
86164;44903;0;1.91889
84483;48978;0;1.72492
90409;47197;0;1.91557
95843;45930;0;2.08672
102028;44748;0;2.28006
106275;49677;0;2.13932
112209;54985;0;2.04072
116467;50174;0;2.32126
120748;55302;0;2.18343
126268;61614;0;2.04934
131275;64855;0;2.02413
135463;67566;0;2.00490
140459;64964;0;2.16211
146104;72156;0;2.02484
151891;82599;0;1.83890
156563;85732;0;1.82619
162443;85549;0;1.89883
168138;82669;0;2.03387
173274;81713;0;2.12052
179729;77925;0;2.30644
199774;90003;0;2.21964
190725;85560;0;2.22914
196415;87513;0;2.24441
201187;93513;0;2.15143
207416;86809;0;2.38934
213189;94871;0;2.24715
217830;89952;0;2.42162
223595;93852;0;2.38242
229086;93650;0;2.44619
234397;99879;0;2.34681
240165;118821;0;2.02123
245650;113799;0;2.15863
250667;129965;0;1.92873
256522;109433;0;2.34410
261574;120732;0;2.16657
265308;129946;0;2.04168
273534;120406;0;2.27176
278119;116661;0;2.38399
281829;121116;0;2.32693
288121;129503;0;2.22482
301593;154859;0;1.94753
298556;145810;0;2.04757
305769;145497;0;2.10155
310002;153303;0;2.02215
316418;145173;0;2.17959
320285;143591;0;2.23054
327685;168159;0;1.94866
332992;159103;0;2.09293
338027;140023;0;2.41408
344604;147704;0;2.33307
349624;184217;0;1.89789
355486;156480;0;2.27177
359966;160704;0;2.23993
366903;172102;0;2.13189
372338;155164;0;2.39964
378184;174288;0;2.16988
383247;186715;0;2.05258
387908;190208;0;2.03939
393991;185286;0;2.12639
398974;187561;0;2.12717
405118;174721;0;2.31866
410207;178143;0;2.30268
414867;176080;0;2.35613
420288;195413;0;2.15077
426317;197836;0;2.1549
431763;175172;0;2.46479
436849;180410;0;2.42142
442117;192488;0;2.29685
448515;189356;0;2.36863
454744;184229;0;2.46836
459097;206498;0;2.22325
463428;216529;0;2.14026
469960;194276;0;2.41903
476692;226737;0;2.10240
481681;211787;0;2.27437
485904;203671;0;2.38573
492803;211838;0;2.32632
496959;215830;0;2.30255
503376;236404;0;2.12930
508973;233854;0;2.17646
513259;213242;0;2.40693
534382;234241;0;2.28133
527681;235687;0;2.23891
