Sequential time;Concurrent time;Inaccuracy;Speedup
10237;12385;0;0.826564;
15669;11186;0;1.40077;
23655;17517;0;1.35040;
30812;16584;0;1.85794;
37166;26256;0;1.41552;
38736;25772;0;1.50303;
43826;26209;0;1.67217;
50651;32198;0;1.57311;
56631;35503;0;1.59510;
61845;34743;0;1.78007;
67263;42607;0;1.57868;
72375;45115;0;1.60423;
91564;45132;0;2.02880;
84528;48340;0;1.74861;
89739;47080;0;1.90610;
96792;48614;0;1.99103;
124459;54311;0;2.29160;
106369;54755;0;1.94264;
111257;60601;0;1.83589;
120445;59697;0;2.01761;
121204;63419;0;1.91116;
125939;64783;0;1.94401;
144363;73749;0;1.95749;
135530;67553;0;2.00628;
140200;73174;0;1.91598;
146097;77034;0;1.89653;
151019;79131;0;1.90847;
156903;81005;0;1.93695;
162144;92423;0;1.75437;
167883;87358;0;1.92178;
173226;92909;0;1.86447;
179487;90667;0;1.97963;
184799;96208;0;1.92083;
190326;98178;0;1.93858;
195671;98281;0;1.99093;
201907;97998;0;2.06032;
207456;105301;0;1.97012;
211273;105642;0;1.99990;
218251;108574;0;2.01016;
223939;112533;0;1.98999;
228902;116326;0;1.96776;
234079;121159;0;1.932;
239147;122401;0;1.95380;
246585;117806;0;2.09314;
250625;133820;0;1.87285;
255890;126047;0;2.03012;
260866;127146;0;2.05170;
267796;130194;0;2.05690;
271928;145227;0;1.87243;
276847;129881;0;2.13154;
285198;138656;0;2.05687;
288535;154689;0;1.86526;
293480;151419;0;1.93820;
300607;157265;0;1.91147;
304797;160936;0;1.89390;
310673;154552;0;2.01015;
315381;163304;0;1.93125;
321252;167885;0;1.91352;
327493;170524;0;1.92051;
333270;169897;0;1.96160;
339303;172495;0;1.96703;
342824;181755;0;1.88619;
349601;175461;0;1.99247;
355642;170737;0;2.08298;
361211;188978;0;1.91139;
366802;185086;0;1.98179;
371455;191778;0;1.93690;
375965;189639;0;1.98253;
382636;187413;0;2.04167;
388152;188685;0;2.05714;
396706;206980;0;1.91664;
404620;198048;0;2.04304;
404886;202026;0;2.00413;
409663;210300;0;1.94799;
416048;208966;0;1.99098;
419851;209792;0;2.00127;
426408;211007;0;2.02082;
432037;212399;0;2.03408;
445723;207551;0;2.14753;
452222;216031;0;2.09332;
447687;234127;0;1.91215;
454450;217061;0;2.09365;
459752;234789;0;1.95815;
463710;229318;0;2.02213;
470782;233852;0;2.01316;
476836;249940;0;1.90780;
481792;254641;0;1.89204;
486951;244258;0;1.99359;
493059;252723;0;1.95099;
497229;240768;0;2.06518;
503894;253071;0;1.99112;
508711;245300;0;2.07383;
514402;252693;0;2.03568;
519120;259024;0;2.00414;
524874;258828;0;2.02789;
