Sequential time;Concurrent time;Inaccuracy;Speedup
7367;7050;0;1.04496;
11052;12489;0;0.884939;
14507;16101;0;0.901;
26354;23615;0;1.11599;
21709;25057;0;0.866385;
30376;29610;0;1.02587;
50594;48051;0;1.05292;
35329;33486;0;1.05504;
46700;30337;0;1.53937;
46647;55205;0;0.844978;
57099;53450;0;1.06827;
55274;52638;0;1.05008;
68255;48112;0;1.41867;
64664;59606;0;1.08486;
88776;60840;0;1.45917;
74124;68345;0;1.08456;
93008;57766;0;1.61008;
82287;58170;0;1.41460;
98108;56896;0;1.72434;
100819;85615;0;1.17759;
96305;74143;0;1.29891;
110852;73848;0;1.50108;
112559;77857;0;1.44571;
137243;88874;0;1.54424;
115230;79175;0;1.45538;
121104;76542;0;1.58219;
128460;80560;0;1.59459;
145996;77552;0;1.88256;
151396;114062;0;1.32731;
151381;100976;0;1.49918;
149950;111486;0;1.34501;
163454;87638;0;1.86510;
162642;94371;0;1.72343;
167985;105274;0;1.59569;
182179;94674;0;1.92428;
180279;97250;0;1.85377;
189503;102927;0;1.84114;
195051;109913;0;1.77459;
199165;116453;0;1.71026;
204241;110781;0;1.84365;
211519;151225;0;1.39870;
221953;141781;0;1.56546;
230172;121782;0;1.89003;
236235;127385;0;1.85450;
238857;123581;0;1.93280;
256139;162839;0;1.57296;
258791;175210;0;1.47703;
265651;128836;0;2.06193;
255637;144279;0;1.77182;
272799;181451;0;1.50343;
268853;139731;0;1.92408;
271987;158140;0;1.71991;
291692;156140;0;1.86814;
296902;176006;0;1.68689;
305324;148951;0;2.04983;
307646;215845;0;1.42531;
309860;166124;0;1.86523;
321338;190104;0;1.69033;
315466;164385;0;1.91907;
328933;174164;0;1.88864;
328868;187316;0;1.75569;
358347;197291;0;1.81634;
346706;175793;0;1.97224;
344898;191060;0;1.80518;
363675;218023;0;1.66806;
359685;181688;0;1.97968;
365553;185298;0;1.97278;
366662;189373;0;1.93619;
381224;194621;0;1.95880;
384580;192033;0;2.00268;
389147;190888;0;2.03861;
393637;202888;0;1.94017;
392738;214033;0;1.83494;
402976;210287;0;1.91631;
410101;214712;0;1.91001;
417817;234525;0;1.78155;
430871;216590;0;1.98934;
435088;209367;0;2.07811;
429118;223973;0;1.91594;
439950;226006;0;1.94663;
445124;229761;0;1.93733;
452856;224104;0;2.02074;
456482;227549;0;2.00608;
464862;229981;0;2.02131;
469765;240155;0;1.95609;
481352;258486;0;1.86220;
475876;232559;0;2.04626;
486641;238288;0;2.04224;
493841;254361;0;1.94150;
497287;254162;0;1.95657;
502096;248716;0;2.01875;
513264;252551;0;2.03232;
513487;257993;0;1.99031;
514697;258810;0;1.98871;
529112;253855;0;2.08431;
