Sequential time;Concurrent time;Inaccuracy;Speedup
8967;6174;0;1.45238;
13977;8890;0;1.57222;
18507;10715;0;1.7272;
21142;15182;0;1.39257;
26239;16933;0;1.54958;
27631;23305;0;1.18563;
36282;29400;0;1.23408;
35488;23582;0;1.50488;
43069;27879;0;1.54485;
46239;33202;0;1.39266;
51035;31143;0;1.63873;
55137;35132;0;1.56942;
70690;55561;0;1.2723;
64814;36123;0;1.79426;
69194;48801;0;1.41788;
74505;48015;0;1.5517;
91815;37935;0;2.42032;
82819;41157;0;2.01227;
88430;42953;0;2.05876;
93165;43756;0;2.12919;
96694;49679;0;1.94638;
102369;44869;0;2.28151;
105663;47685;0;2.21585;
110613;69475;0;1.59213;
115740;68070;0;1.70031;
120437;57689;0;2.08769;
126300;57807;0;2.18486;
131092;64987;0;2.0172;
136937;60283;0;2.27157;
146028;69259;0;2.10843;
148779;62811;0;2.36868;
156188;71275;0;2.19134;
163860;68269;0;2.40021;
169296;68331;0;2.47759;
174739;91558;0;1.90851;
181484;78659;0;2.30722;
229944;78599;0;2.92553;
195198;78823;0;2.47641;
198310;74450;0;2.66367;
203636;84838;0;2.40029;
211107;78644;0;2.68434;
216252;85267;0;2.53617;
221869;90889;0;2.4411;
225831;85765;0;2.63314;
236961;93421;0;2.53649;
245672;97287;0;2.52523;
245780;92255;0;2.66414;
248341;99725;0;2.49026;
256142;97576;0;2.62505;
261049;95553;0;2.73198;
264601;98713;0;2.68051;
271295;100799;0;2.69145;
285248;108852;0;2.62051;
295312;105924;0;2.78796;
298218;112148;0;2.65915;
300800;124375;0;2.41849;
311870;108574;0;2.87242;
310008;117167;0;2.64586;
318557;115620;0;2.75521;
322490;118668;0;2.71758;
334607;115004;0;2.90952;
338055;115568;0;2.92516;
342135;131113;0;2.60947;
342032;117484;0;2.91131;
352298;121360;0;2.90292;
358737;126980;0;2.82515;
382357;136459;0;2.80199;
370567;140041;0;2.64613;
382426;132100;0;2.89497;
399941;134701;0;2.9691;
389218;129581;0;3.00367;
388125;150124;0;2.58536;
398131;150628;0;2.64314;
407992;143954;0;2.83418;
404857;142877;0;2.83361;
417163;156496;0;2.66565;
428912;146942;0;2.91892;
443879;149287;0;2.97333;
436043;148887;0;2.92868;
433605;158757;0;2.73125;
443931;152738;0;2.90649;
450199;150263;0;2.99607;
451411;158836;0;2.84199;
465070;156981;0;2.96259;
473853;161227;0;2.93904;
475221;158888;0;2.99092;
476087;168022;0;2.83348;
498514;163843;0;3.04263;
492407;162787;0;3.02485;
491721;175367;0;2.80395;
495720;185871;0;2.66701;
529480;175892;0;3.01026;
521197;174457;0;2.98754;
520480;176217;0;2.95363;
531858;172352;0;3.08588;
