Последовательное время;Параллельное время;Неточность;Ускорение
14816;83552;9.3225e+06;0.177327;
16364;159835;-1.26681e+08;0.102381;
17587;189787;-6.50805e+08;0.092667;
18954;161933;3.26369e+08;0.117048;
23910;183474;1.62595e+08;0.130318;
22402;226543;1.10277e+09;0.0988863;
23362;255822;-4.49511e+08;0.0913213;
25044;178023;6.11844e+08;0.140678;
25719;153932;7.76077e+08;0.16708;
27940;284684;-2.5888e+09;0.0981439;
29189;256806;1.0259e+09;0.113662;
30533;220705;3.42884e+08;0.138343;
36457;201479;8.17365e+08;0.180947;
39934;336449;-3.40027e+09;0.118693;
38920;210015;-4.56131e+07;0.18532;
37353;318581;4.27347e+09;0.117248;
38487;264769;-1.69345e+08;0.145361;
43614;303550;1.50471e+08;0.14368;
45524;269713;2.47779e+09;0.168787;
42114;249539;4.09574e+09;0.168767;
49511;342283;-5.71317e+09;0.144649;
44998;309998;4.54663e+09;0.145156;
52339;468855;-8.53017e+08;0.111632;
47185;240266;1.1786e+09;0.196387;
48208;363070;-7.63992e+09;0.132779;
49809;426645;-5.71579e+09;0.116746;
56392;331050;-2.49666e+09;0.170343;
55397;397308;1.1204e+10;0.139431;
57938;266992;1.79516e+09;0.217003;
53751;305656;4.76158e+09;0.175855;
55998;404811;1.37678e+09;0.138331;
58254;335813;-1.1895e+10;0.173472;
65350;390590;-1.22474e+09;0.167311;
59434;289157;-3.69938e+09;0.205542;
62054;405543;-7.88529e+08;0.153015;
63107;375698;-3.1667e+09;0.167973;
66639;353880;1.25431e+10;0.18831;
73220;427054;-7.54765e+09;0.171454;
73664;489179;8.70947e+09;0.150587;
66834;471823;3.86295e+09;0.141651;
68984;427020;-2.64451e+09;0.161547;
70045;492694;1.21299e+10;0.142167;
71693;528252;-1.62403e+10;0.135717;
72960;482011;2.39495e+09;0.151366;
104887;519774;8.86676e+09;0.201793;
84595;585479;-2.85884e+10;0.144489;
76753;552142;-1.20377e+10;0.13901;
78317;563243;2.24395e+09;0.139047;
89291;622737;-9.17714e+09;0.143385;
82551;531348;-4.66784e+10;0.155361;
82253;595379;1.04354e+10;0.138152;
87953;590942;9.24425e+09;0.148835;
94167;719827;-1.33253e+10;0.130819;
88473;597504;2.73091e+10;0.148071;
88650;533193;-1.72512e+10;0.166262;
96191;575230;2.97041e+10;0.167222;
92091;658555;1.57874e+10;0.139838;
102562;588495;-2.12316e+10;0.174278;
93937;643530;8.38022e+09;0.145971;
104926;585265;1.7851e+10;0.179279;
99870;641711;1.79265e+10;0.155631;
104035;681399;-7.70913e+09;0.152679;
104397;653719;-3.59955e+10;0.159697;
107857;784424;1.37825e+10;0.137498;
108693;621309;-4.47532e+10;0.174942;
117362;579501;-6.2277e+10;0.202523;
112323;595705;3.92335e+10;0.188555;
122888;844591;-8.60503e+10;0.1455;
121450;860207;-9.03118e+10;0.141187;
108102;655404;2.65416e+10;0.164939;
124478;719453;-3.27743e+10;0.173018;
127888;575226;1.54183e+10;0.222327;
114120;805610;6.48439e+10;0.141657;
125634;790269;-7.7645e+10;0.158976;
136732;957728;-5.16906e+10;0.142767;
131035;761740;-4.02653e+08;0.172021;
135229;846881;-4.07183e+10;0.159679;
120102;876745;5.13383e+10;0.136986;
133242;772054;-1.98307e+10;0.172581;
128570;796242;8.04132e+10;0.161471;
140896;815498;6.12368e+10;0.172773;
134515;844848;6.72766e+10;0.159218;
136484;906019;-7.61015e+10;0.150641;
142541;947930;5.39555e+10;0.150371;
135399;730107;-9.74756e+09;0.185451;
143930;907821;1.12525e+11;0.158544;
153021;944547;1.86563e+10;0.162005;
137026;850194;6.45252e+10;0.16117;
136568;856338;7.7041e+10;0.159479;
136909;836585;3.40745e+10;0.163652;
137358;946786;8.82482e+09;0.145078;
150223;880294;-1.41583e+11;0.170651;
138888;1065344;-6.35185e+10;0.130369;
141100;959395;6.66727e+10;0.147072;
156094;864865;-1.50693e+11;0.180484;
156651;961809;9.81467e+10;0.162871;
158603;962087;2.79508e+10;0.164853;
147191;811604;-7.47257e+10;0.181358;
160538;956776;8.89864e+10;0.167791;
156918;971139;5.32844e+10;0.161581;
152225;1062171;2.80515e+10;0.143315;
152675;1056544;2.10051e+10;0.144504;
155218;1046388;-9.0597e+08;0.148337;
156719;1150261;2.32398e+11;0.136246;
159035;936979;-1.77335e+11;0.169732;
159003;1086930;-1.32574e+11;0.146286;
160617;1067299;-1.44955e+11;0.150489;
163182;1017742;1.29621e+11;0.160337;
166563;1155412;-9.13352e+10;0.144159;
191248;1163281;1.35526e+11;0.164404;
167096;1066732;-7.03972e+10;0.156643;
167769;1163106;-1.47304e+11;0.144242;
199829;958987;-8.27452e+10;0.208375;
177675;1039722;1.23581e+11;0.170887;
172294;1179970;-1.15461e+11;0.146016;
189543;1190910;9.07983e+10;0.159158;
174080;1103447;-2.27835e+10;0.15776;
175192;1279816;-2.91085e+11;0.136888;
177212;1250997;-1.73074e+11;0.141657;
178423;1224561;2.44343e+11;0.145704;
180826;1139736;6.3485e+10;0.158656;
181990;1155124;-3.17425e+10;0.15755;
181325;1297745;2.81186e+10;0.139723;
189237;1031740;9.93211e+10;0.183415;
197955;1365992;5.87874e+10;0.144917;
186922;1296823;-4.40234e+10;0.144138;
189465;1274432;-2.8387e+10;0.148666;
191123;1378576;2.36425e+11;0.138638;
190862;1186746;-3.72186e+11;0.160828;
212755;1299466;2.3931e+11;0.163725;
205223;1291474;2.81052e+11;0.158906;
222462;1282060;-3.64334e+11;0.173519;
221022;1482297;2.15487e+11;0.149108;
198635;1475163;-1.27037e+11;0.134653;
200142;1175736;2.06024e+10;0.170227;
