Последовательное время;Параллельное время;Неточность;Ускорение
16500;82961;-3.26074e+08;0.198889;
39911;219451;9.42408e+07;0.181867;
49478;265451;-1.56657e+09;0.186392;
63189;284220;4.20269e+09;0.222324;
68288;341469;9.15826e+09;0.199983;
86873;467654;5.06672e+09;0.185763;
97135;729769;1.68527e+10;0.133104;
110673;830092;-1.30527e+10;0.133326;
128107;607122;7.25782e+10;0.211007;
153615;642854;3.17257e+10;0.238958;
151022;778974;-1.57035e+10;0.193873;
187359;1232990;-1.04824e+11;0.151955;
181524;814924;1.36097e+11;0.22275;
192919;1439945;2.42397e+11;0.133977;
205560;1093233;-2.12601e+11;0.188029;
221123;1470675;9.64354e+10;0.150355;
234497;1757081;-2.75146e+10;0.133458;
248601;1572969;2.50853e+11;0.158046;
258764;1220264;6.76592e+11;0.212056;
275537;1747014;-5.95524e+11;0.157719;
290380;1430892;8.2705e+11;0.202936;
304551;1493568;-8.68926e+11;0.203908;
316277;2360832;4.42919e+11;0.133968;
331051;2508041;-5.79552e+11;0.131996;
