Последовательное время;Параллельное время;Неточность;Ускорение;Последовательный результат
14679;159657;-1.73621e+08;0.0919408;1.41026e+20;
29925;205550;1.11988e+09;0.145585;1.12821e+21;
43583;459525;-2.37555e+09;0.0948436;3.80769e+21;
56164;588185;4.21842e+09;0.095487;9.02564e+21;
68762;724555;8.8353e+09;0.0949024;1.76282e+22;
83304;633650;-5.47357e+09;0.131467;3.04615e+22;
102823;911776;-3.96781e+09;0.112772;4.83718e+22;
113673;1141215;-2.85716e+10;0.099607;7.22051e+22;
122418;1372399;5.37878e+10;0.0892;1.02808e+23;
135790;954368;-7.98595e+09;0.142283;1.41026e+23;
149109;1056528;-1.52002e+10;0.141131;1.87705e+23;
164152;1804925;-2.04011e+10;0.0909467;2.43692e+23;
176172;2004510;1.44485e+11;0.0878878;3.09833e+23;
190299;2048618;3.42121e+11;0.0928914;3.86974e+23;
205218;2375164;-1.85019e+11;0.0864016;4.75962e+23;
216680;1700164;9.46235e+10;0.127447;5.77641e+23;
232593;2587462;5.15396e+10;0.0898923;6.92859e+23;
245189;2854386;3.91647e+11;0.085899;8.22462e+23;
259178;2941812;5.06001e+11;0.0881015;9.67295e+23;
273029;3089390;-6.32568e+11;0.0883763;1.12821e+24;
284331;2135115;6.57398e+11;0.133169;1.30604e+24;
300235;3390702;-4.45334e+11;0.0885466;1.50164e+24;
314157;3569178;1.7153e+11;0.0880194;1.71586e+24;
328166;3816815;-7.50009e+11;0.085979;1.94954e+24;
