N;Итерации;Время;Погрешность
100;1348;0.0683739;0.000106327;
110;1560;0.0773573;9.66266e-05;
120;1793;0.0812224;7.42941e-05;
130;2012;0.0917534;9.14889e-05;
140;2276;0.129761;0.0002001;
150;2546;0.14893;0.000447913;
160;2777;0.181054;0.000255513;
170;3010;0.212001;3.73834e-05;
180;3271;0.244942;6.04875e-05;
190;3534;0.195498;6.46686e-05;
200;3808;0.269504;5.58135e-05;
210;4083;0.300058;4.46508e-05;
220;4358;0.341722;5.7531e-05;
230;4638;0.369051;5.4586e-05;
240;4920;0.418785;5.0716e-05;
250;5203;0.456321;5.22079e-05;
260;5487;0.506301;5.50342e-05;
270;5773;0.553727;4.86299e-05;
280;6060;0.593479;4.40512e-05;
290;6346;0.662608;4.67327e-05;
300;6633;0.749112;4.00739e-05;
310;6918;0.754783;3.56389e-05;
320;7204;0.86624;3.60689e-05;
330;7487;0.99838;4.13679e-05;
340;7771;1.03167;3.58875e-05;
350;8052;1.13733;3.72148e-05;
360;8331;1.32035;3.64609e-05;
370;8609;1.31067;3.44382e-05;
380;8884;1.44077;3.10117e-05;
390;9157;1.63883;3.35202e-05;
400;9427;1.70296;3.09619e-05;
410;9695;1.88869;3.05163e-05;
420;9959;1.98205;2.90983e-05;
430;10221;2.09067;2.71832e-05;
440;10479;2.22137;2.82971e-05;
450;10735;2.37569;2.56506e-05;
460;10986;2.52431;3.20566e-05;
470;11235;2.69494;2.48348e-05;
480;11479;2.80322;3.0781e-05;
490;11721;3.02531;2.38419e-05;
500;11959;3.22798;2.85937e-05;
