N;Итерации;Время;Погрешность
100;725;0.0526883;0;
110;815;0.0852475;0;
120;903;0.0949052;0;
130;989;0.124749;0;
140;1071;0.156401;0;
150;1151;0.19593;0;
160;1227;0.25702;0;
170;1300;0.279845;0;
180;1369;0.381215;0;
190;1435;0.397562;0;
200;1497;0.485912;0;
210;1556;0.5303;0;
220;1613;0.601014;0;
230;1667;0.689765;0;
240;1718;0.777042;0;
250;1766;0.844765;0;
260;1813;0.981425;0;
270;1858;1.04775;0;
280;1900;1.16714;0;
290;1941;1.3107;0;
300;1980;1.40411;0;
310;2017;1.51209;0;
320;2053;1.62572;0;
330;2087;1.77619;0;
340;2120;1.9293;0;
350;2152;2.10001;0;
360;2182;2.17533;0;
370;2211;2.41103;0;
380;2239;2.46835;0;
390;2267;2.64674;0;
400;2293;2.87789;0;
410;2318;3.06327;0;
420;2342;3.17374;0;
430;2366;3.40526;0;
440;2388;3.57691;0;
450;2410;3.78988;0;
460;2431;3.9899;0;
470;2452;4.2365;0;
480;2471;4.43504;0;
490;2491;4.65391;0;
500;2509;4.82472;0;
