N;Итерации;Время;Погрешность
100;211;0.016332;0;
110;222;0.0207349;0;
120;231;0.024255;0;
130;240;0.0301783;0;
140;247;0.0357538;0;
150;254;0.0420672;0;
160;260;0.0492125;0;
170;265;0.0438795;0;
180;270;0.054587;0;
190;275;0.0567732;0;
200;279;0.0638224;0;
210;283;0.0699278;0;
220;286;0.0799992;0;
230;290;0.0855497;0;
240;293;0.0917632;0;
250;296;0.0939016;0;
260;298;0.103497;0;
270;301;0.108356;0;
280;303;0.115501;0;
290;305;0.125774;0;
300;307;0.139619;0;
310;309;0.148199;0;
320;311;0.162983;0;
330;313;0.16999;0;
340;314;0.178158;0;
350;316;0.189107;0;
360;317;0.206098;0;
370;319;0.2172;0;
380;320;0.238051;0;
390;321;0.241628;0;
400;323;0.25715;0;
410;324;0.274374;0;
420;325;0.281426;0;
430;326;0.298865;0;
440;327;0.317152;0;
450;328;0.330425;0;
460;329;0.345043;0;
470;329;0.358942;0;
480;330;0.38298;0;
490;331;0.391184;0;
500;332;0.413668;0;
