N;Итерации;Время;Погрешность
100;725;0.178594;0;
110;815;0.217272;0;
120;903;0.242195;0;
130;989;0.273823;0;
140;1071;0.318474;0;
150;1151;0.43481;0;
160;1227;0.454053;0;
170;1300;0.542513;0;
180;1369;0.586374;0;
190;1435;0.608233;0;
200;1497;0.65513;0;
210;1556;0.711231;0;
220;1613;0.880612;0;
230;1667;0.894028;0;
240;1718;1.00185;0;
250;1766;1.04549;0;
260;1813;1.10190;0;
270;1858;1.14853;0;
280;1900;1.14299;0;
290;1941;1.27691;0;
300;1980;1.34282;0;
310;2017;1.38661;0;
320;2053;1.45760;0;
330;2087;1.49610;0;
340;2120;1.64414;0;
350;2152;1.72689;0;
360;2182;1.74990;0;
370;2211;1.89255;0;
380;2239;1.89256;0;
390;2267;1.97506;0;
400;2293;2.18872;0;
410;2318;2.18895;0;
420;2342;2.24701;0;
430;2366;2.27609;0;
440;2388;2.41290;0;
450;2410;2.52743;0;
460;2431;3.39389;0;
470;2452;2.54870;0;
480;2471;2.76746;0;
490;2491;2.86118;0;
500;2509;2.92192;0;
