N;Итерации;Время;Погрешность
100;725;0.114094;0;
110;815;0.141371;0;
120;903;0.235095;0;
130;989;0.230728;0;
140;1071;0.280805;0;
150;1151;0.329453;0;
160;1227;0.323203;0;
170;1300;0.370026;0;
180;1369;0.435024;0;
190;1435;0.454116;0;
200;1497;0.470837;0;
210;1556;0.500443;0;
220;1613;0.566599;0;
230;1667;0.604772;0;
240;1718;0.700228;0;
250;1766;0.700481;0;
260;1813;0.759283;0;
270;1858;0.775281;0;
280;1900;1.45959;0;
290;1941;0.944055;0;
300;1980;0.92743;0;
310;2017;1.02739;0;
320;2053;1.06103;0;
330;2087;1.09753;0;
340;2120;1.16452;0;
350;2152;1.18966;0;
360;2182;1.35086;0;
370;2211;1.33955;0;
380;2239;1.3863;0;
390;2267;1.46557;0;
400;2293;1.57121;0;
410;2318;1.56178;0;
420;2342;1.59804;0;
430;2366;1.67897;0;
440;2388;1.75524;0;
450;2410;1.78787;0;
460;2431;1.86959;0;
470;2452;1.91405;0;
480;2471;2.07093;0;
490;2491;2.0052;0;
500;2509;2.17841;0;
